,r_5,r_9,r_12,r_177,r_180,r_181,r_182,r_183,r_184,r_187,r_190,r_194,r_195,r_199,r_241,r_242,label,pred
23911,0,2520,20,121,6506,0,0,0,0,0,39,39,0,0,4.67823E+11,2.14633E+11,0,0
37497,0,2523,17,31,6583,0,0,0,0,0,26,26,0,0,61475529988,25580751492,0,0
23913,0,2568,20,122,6506,0,0,0,0,0,38,38,0,0,4.7388E+11,2.18131E+11,0,0
37500,0,2595,17,32,6583,0,0,0,0,0,27,27,0,0,62228518964,26071648876,0,0
33525,0,2611,4,5,6559,0,0,0,0,0,31,31,0,0,8323884340,2793370102,0,0
23916,0,2640,20,124,6506,0,0,0,0,0,39,39,0,0,4.80669E+11,2.2274E+11,0,0
3082,0,2658,7,128,6511,0,0,0,0,0,31,31,0,0,1.88911E+11,17463982265,0,0
23917,0,2664,20,125,6506,0,0,0,0,0,39,39,0,0,4.82625E+11,2.24132E+11,0,0
33529,0,2707,4,5,6559,0,0,0,0,0,30,30,0,0,8454753548,2793399934,0,0
37505,0,2715,17,33,6583,0,0,0,0,0,26,26,0,0,63383193628,26165704092,0,0
33530,0,2731,4,5,6559,0,0,0,0,0,32,32,0,0,8536826820,2793416230,0,0
37508,0,2787,17,34,6583,0,0,0,0,0,26,26,0,0,64235557940,26547989140,0,0
23923,0,2808,20,128,6506,0,0,0,0,0,39,39,0,0,4.9486E+11,2.32673E+11,0,0
37511,0,2860,17,35,6583,0,0,0,0,0,27,27,0,0,65235612484,29039637388,0,0
3439,0,2884,25,2,6542,0,0,0,0,0,27,27,0,0,5908465052,2070179984,0,0
16473,0,2932,25,1,6574,0,0,0,0,0,27,27,0,0,6452102313,2178355025,0,0
32220,0,2934,25,2,6550,0,0,0,0,0,27,27,0,0,6396937908,2104858628,0,0
16474,0,2954,25,1,6574,0,0,0,0,0,27,27,0,0,6716433837,2214574096,0,0
37515,0,2956,17,36,6583,0,0,0,0,0,27,27,0,0,66326140996,31344487100,0,0
23930,0,2976,20,132,6506,0,0,0,0,0,39,39,0,0,5.05599E+11,2.40697E+11,0,0
3096,0,2994,7,147,6511,0,0,0,0,0,32,32,0,0,2.14187E+11,20036405264,0,0
43078,0,2999,23,86,6595,0,0,0,0,0,30,30,0,0,3.21284E+11,1.63423E+11,0,0
1993,0,3019,3,17,6557,0,0,0,0,0,29,29,0,0,58605564726,462445563,0,0
43079,0,3023,23,87,6595,0,0,0,0,0,28,28,0,0,3.23042E+11,1.64688E+11,0,0
3445,0,3026,25,3,6542,0,0,0,0,0,27,27,0,0,7376383247,2309936342,0,0
1994,0,3043,3,17,6557,0,0,0,0,0,29,29,0,0,58714242102,462446835,0,0
33543,0,3043,4,6,6559,0,0,0,0,0,30,30,0,0,10152012028,2802013822,0,0
32225,0,3052,25,3,6550,0,0,0,0,0,28,28,0,0,7527392224,2267523298,0,0
16479,0,3074,25,2,6574,0,0,0,0,0,27,27,0,0,7959214557,2380972494,0,0
3447,0,3074,25,3,6542,0,0,0,0,0,27,27,0,0,7847438412,2358295587,0,0
37520,0,3076,17,38,6583,0,0,0,0,0,26,26,0,0,68608150732,35330154980,0,0
32227,0,3100,25,3,6550,0,0,0,0,0,28,28,0,0,7986690394,2325735235,0,0
33548,0,3163,4,6,6559,0,0,0,0,0,32,32,0,0,10332580292,2802216150,0,0
3104,0,3186,7,157,6511,0,0,0,0,0,31,31,0,0,2.27409E+11,21103482645,0,0
33550,0,3211,4,6,6559,0,0,0,0,0,29,29,0,0,10410904012,2802318622,0,0
23940,0,3216,20,137,6506,0,0,0,0,0,39,39,0,0,5.24663E+11,2.56073E+11,0,0
33551,0,3235,4,6,6559,0,0,0,0,0,29,29,0,0,10446571436,2802339902,0,0
16486,0,3242,25,3,6574,0,0,0,0,0,27,27,0,0,9348386424,2691791955,0,0
16487,0,3266,25,3,6574,0,0,0,0,0,28,28,0,0,9502078600,2787610773,0,0
37528,0,3268,17,40,6583,0,0,0,0,0,27,27,0,0,72881389732,45379618988,0,0
3456,0,3290,25,4,6542,0,0,0,0,0,27,27,0,0,9797360854,2791617646,0,0
43091,0,3311,23,93,6595,0,0,0,0,0,30,30,0,0,3.44725E+11,1.8117E+11,0,0
32236,0,3316,25,4,6550,0,0,0,0,0,28,28,0,0,9871755939,2766250290,0,0
29503,0,3332,23,28,6536,0,0,0,0,0,28,28,0,0,73665275004,27119962031,0,0
4887,0,3332,23,28,6523,0,0,0,0,0,28,28,0,0,78629576578,28938405057,0,0
12670,0,3333,22,52,6561,0,0,0,0,0,28,28,0,0,1.09803E+11,26173773158,0,0
37531,0,3340,17,41,6583,0,0,0,0,0,27,27,0,0,74023729556,55570031308,0,0
20092,0,3357,22,43,6565,0,0,0,0,0,27,27,0,0,1.18718E+11,25748381423,0,0
12128,0,3357,22,29,6521,0,0,0,0,0,27,27,0,0,65640896975,34629418663,0,0
23946,0,3360,20,141,6506,0,0,0,0,0,39,39,0,0,5.37984E+11,2.66084E+11,0,0
3459,0,3364,25,4,6542,0,0,0,0,0,27,27,0,0,10317776777,2865165508,0,0
3112,0,3378,7,165,6511,0,0,0,0,0,31,31,0,0,2.38499E+11,21729149250,0,0
5975,0,3378,22,39,6562,0,0,0,0,0,28,28,0,0,1.04285E+11,33937165479,0,0
33557,0,3379,4,7,6559,0,0,0,0,0,31,31,0,0,10768498572,2812578902,0,0
4889,0,3380,23,28,6523,0,0,0,0,0,30,30,0,0,80173014842,29378012295,0,0
43623,0,3380,23,27,6547,0,0,0,0,0,30,30,0,0,82073651574,25649616943,0,0
20093,0,3381,22,44,6565,0,0,0,0,0,29,29,0,0,1.19576E+11,25920652967,0,0
12129,0,3381,22,29,6521,0,0,0,0,0,29,29,0,0,66041464163,34835598230,0,0
32239,0,3390,25,4,6550,0,0,0,0,0,28,28,0,0,10486911601,2836945680,0,0
29506,0,3404,23,29,6536,0,0,0,0,0,28,28,0,0,75153945697,27714973397,0,0
22266,0,3404,25,18,6548,0,0,0,0,0,28,28,0,0,56952941159,22950245625,0,0
3461,0,3412,25,5,6542,0,0,0,0,0,27,27,0,0,10778723318,2921129408,0,0
32240,0,3414,25,5,6550,0,0,0,0,0,27,27,0,0,10723574460,2861968310,0,0
3114,0,3426,7,167,6511,0,0,0,0,0,32,32,0,0,2.41251E+11,21981785418,0,0
4891,0,3428,23,29,6523,0,0,0,0,0,28,28,0,0,81611574244,29803759050,0,0
12131,0,3429,22,29,6521,0,0,0,0,0,28,28,0,0,66826627720,35278181338,0,0
23949,0,3432,20,143,6506,0,0,0,0,0,39,39,0,0,5.43646E+11,2.70687E+11,0,0
32241,0,3438,25,5,6550,0,0,0,0,0,28,28,0,0,10902425502,2881567014,0,0
5978,0,3450,22,40,6562,0,0,0,0,0,27,27,0,0,1.05783E+11,35136560670,0,0
33560,0,3451,4,7,6559,0,0,0,0,0,33,33,0,0,10929730372,2812735046,0,0
2011,0,3451,3,19,6557,0,0,0,0,0,29,29,0,0,59875105846,462604363,0,0
20096,0,3453,22,45,6565,0,0,0,0,0,27,27,0,0,1.22107E+11,26444645253,0,0
12675,0,3453,22,54,6561,0,0,0,0,0,29,29,0,0,1.12216E+11,27337205307,0,0
37536,0,3460,17,42,6583,0,0,0,0,0,27,27,0,0,75848515452,61330379156,0,0
3463,0,3460,25,5,6542,0,0,0,0,0,27,27,0,0,11176839432,2997187595,0,0
33561,0,3475,4,7,6559,0,0,0,0,0,30,30,0,0,10976434404,2812776078,0,0
29509,0,3476,23,30,6536,0,0,0,0,0,28,28,0,0,76502045001,28421511698,0,0
42541,0,3476,22,36,6535,0,0,0,0,0,28,28,0,0,78267240452,64397806752,0,0
3464,0,3484,25,5,6542,0,0,0,0,0,27,27,0,0,11349310569,3032291322,0,0
3117,0,3498,7,170,6511,0,0,0,0,0,31,31,0,0,2.45475E+11,22334105106,0,0
4894,0,3500,23,30,6523,0,0,0,0,0,28,28,0,0,83805419032,30346559191,0,0
23952,0,3504,20,145,6506,0,0,0,0,0,39,39,0,0,5.49675E+11,2.75834E+11,0,0
16497,0,3508,25,4,6574,0,0,0,0,0,28,28,0,0,11519776883,3096516365,0,0
3118,0,3522,7,171,6511,0,0,0,0,0,32,32,0,0,2.46966E+11,22425054370,0,0
2014,0,3523,3,19,6557,0,0,0,0,0,30,30,0,0,59875105846,462604363,0,0
5982,0,3546,22,41,6562,0,0,0,0,0,27,27,0,0,1.08024E+11,35564798400,0,0
4896,0,3548,23,30,6523,0,0,0,0,0,28,28,0,0,85798491330,30508410670,0,0
12679,0,3549,22,55,6561,0,0,0,0,0,29,29,0,0,1.14735E+11,28729700312,0,0
16499,0,3556,25,4,6574,0,0,0,0,0,27,27,0,0,11981270424,3160015449,0,0
32246,0,3558,25,5,6550,0,0,0,0,0,27,27,0,0,11904397597,3041232793,0,0
3120,0,3570,7,174,6511,0,0,0,0,0,31,31,0,0,2.50131E+11,22668703730,0,0
2017,0,3595,3,19,6557,0,0,0,0,0,31,31,0,0,59875105878,462604643,0,0
37542,0,3604,17,45,6583,0,0,0,0,0,26,26,0,0,81220287964,63896329828,0,0
42547,0,3620,22,38,6535,0,0,0,0,0,29,29,0,0,82106328725,65148282494,0,0
12139,0,3621,22,31,6521,0,0,0,0,0,28,28,0,0,70250504751,36398031321,0,0
20103,0,3621,22,47,6565,0,0,0,0,0,27,27,0,0,1.28491E+11,27170182520,0,0
12682,0,3621,22,56,6561,0,0,0,0,0,29,29,0,0,1.16803E+11,29196411347,0,0
16502,0,3626,25,5,6574,0,0,0,0,0,28,28,0,0,12593011006,3248574936,0,0
5986,0,3642,22,42,6562,0,0,0,0,0,26,26,0,0,1.10166E+11,36081692617,0,0
43634,0,3644,23,30,6547,0,0,0,0,0,28,28,0,0,88017135811,27346465098,0,0
3471,0,3650,25,6,6542,0,0,0,0,0,27,27,0,0,12959331118,3215349040,0,0
33569,0,3667,4,8,6559,0,0,0,0,0,32,32,0,0,11627828636,2813658046,0,0
22277,0,3668,25,20,6548,0,0,0,0,0,27,27,0,0,62341775126,24627182760,0,0
25341,0,3670,18,47,6573,0,0,0,0,0,28,28,0,0,1.75731E+11,83024753803,0,0
26621,0,3681,31,28,6540,0,0,0,0,0,26,26,0,0,76852344446,47855353626,0,0
12685,0,3693,22,58,6561,0,0,0,0,0,28,28,0,0,1.18935E+11,29937129806,0,0
26622,0,3705,31,28,6540,0,0,0,0,0,27,27,0,0,77355430581,48083452879,0,0
5989,0,3714,22,43,6562,0,0,0,0,0,26,26,0,0,1.11896E+11,36725122658,0,0
3126,0,3714,7,182,6511,0,0,0,0,0,31,31,0,0,2.60375E+11,23505892114,0,0
20107,0,3717,22,49,6565,0,0,0,0,0,27,27,0,0,1.31475E+11,27981380175,0,0
12143,0,3717,22,32,6521,0,0,0,0,0,27,27,0,0,72191107855,37364330470,0,0
26623,0,3729,31,28,6540,0,0,0,0,0,27,27,0,0,77797021731,48290354883,0,0
22280,0,3740,25,21,6548,0,0,0,0,0,28,28,0,0,63851823834,25236763273,0,0
4904,0,3740,23,33,6523,0,0,0,0,0,28,28,0,0,92928505042,32011620166,0,0
23962,0,3744,20,150,6506,0,0,0,0,0,39,39,0,0,5.66314E+11,2.91332E+11,0,0
43639,0,3764,23,31,6547,0,0,0,0,0,28,28,0,0,90970593586,28468967510,0,0
20109,0,3765,22,49,6565,0,0,0,0,0,27,27,0,0,1.33156E+11,28379316348,0,0
12145,0,3765,22,33,6521,0,0,0,0,0,27,27,0,0,73048675127,37820011361,0,0
2025,0,3787,3,20,6557,0,0,0,0,0,30,30,0,0,61248365750,467268563,0,0
33574,0,3787,4,8,6559,0,0,0,0,0,33,33,0,0,12682360596,2832073310,0,0
32039,0,3788,41,5,6528,0,0,0,0,0,29,29,0,0,11149474424,10159147480,0,0
12146,0,3789,22,33,6521,0,0,0,0,0,27,27,0,0,73460097187,38034819956,0,0
3477,0,3794,25,6,6542,0,0,0,0,0,27,27,0,0,13873900882,3366544381,0,0
32256,0,3796,25,6,6550,0,0,0,0,0,27,27,0,0,13491085908,3272983367,0,0
29523,0,3812,23,33,6536,0,0,0,0,0,28,28,0,0,83670786116,30604907120,0,0
20111,0,3813,22,50,6565,0,0,0,0,0,27,27,0,0,1.34577E+11,28785969464,0,0
16510,0,3818,25,5,6574,0,0,0,0,0,27,27,0,0,13851903349,3447734319,0,0
29524,0,3836,23,33,6536,0,0,0,0,0,28,28,0,0,84121128621,30807972761,0,0
43113,0,3839,23,103,6595,0,0,0,0,0,29,29,0,0,3.74029E+11,2.06853E+11,0,0
16511,0,3842,25,6,6574,0,0,0,0,0,27,27,0,0,13994770095,3462085658,0,0
29525,0,3860,23,33,6536,0,0,0,0,0,27,27,0,0,84558460745,30975718306,0,0
42557,0,3860,22,41,6535,0,0,0,0,0,28,28,0,0,88167951679,67540080684,0,0
43643,0,3860,23,31,6547,0,0,0,0,0,28,28,0,0,93021651559,29383800301,0,0
12692,0,3861,22,60,6561,0,0,0,0,0,28,28,0,0,1.23083E+11,31571850391,0,0
32259,0,3868,25,6,6550,0,0,0,0,0,28,28,0,0,13956793219,3327949596,0,0
14124,0,3869,28,2,6500,0,0,0,0,0,29,29,0,0,7691636289,1.06084E+11,0,0
22286,0,3884,25,22,6548,0,0,0,0,0,27,27,0,0,66624020241,26454945472,0,0
29526,0,3884,23,33,6536,0,0,0,0,0,28,28,0,0,85010843445,31184013253,0,0
12150,0,3886,22,34,6521,0,0,0,0,0,27,27,0,0,74998389879,38879866488,0,0
23968,0,3888,20,153,6506,0,0,0,0,0,39,39,0,0,5.76146E+11,2.99996E+11,0,0
3134,0,3906,7,194,6511,0,0,0,0,0,31,31,0,0,2.75903E+11,24626369722,0,0
33579,0,3907,4,8,6559,0,0,0,0,0,32,32,0,0,13152706980,2835970118,0,0
32044,0,3908,41,5,6528,0,0,0,0,0,29,29,0,0,11251777904,10159187464,0,0
43645,0,3908,23,32,6547,0,0,0,0,0,28,28,0,0,93863429986,29868205436,0,0
3482,0,3914,25,7,6542,0,0,0,0,0,28,28,0,0,14905763232,3504393489,0,0
5998,0,3930,22,46,6562,0,0,0,0,0,26,26,0,0,1.18576E+11,38467716539,0,0
33580,0,3931,4,8,6559,0,0,0,0,0,29,29,0,0,13190155084,2836041582,0,0
32045,0,3932,41,5,6528,0,0,0,0,0,29,29,0,0,11272989592,10159193280,0,0
43646,0,3932,23,32,6547,0,0,0,0,0,28,28,0,0,94263914962,30116016330,0,0
43117,0,3935,23,104,6595,0,0,0,0,0,29,29,0,0,3.77616E+11,2.10328E+11,0,0
37556,0,3940,17,52,6583,0,0,0,0,0,26,26,0,0,89461608004,73055413580,0,0
32262,0,3940,25,7,6550,0,0,0,0,0,28,28,0,0,14523494448,3429259739,0,0
26632,0,3945,31,30,6540,0,0,0,0,0,27,27,0,0,81862013940,50162964735,0,0
2032,0,3955,3,22,6557,0,0,0,0,0,30,30,0,0,67308882990,743558339,0,0
32046,0,3956,41,5,6528,0,0,0,0,0,29,29,0,0,11293197048,10159201064,0,0
43647,0,3956,23,32,6547,0,0,0,0,0,28,28,0,0,94676359302,30326167339,0,0
42561,0,3956,22,42,6535,0,0,0,0,0,28,28,0,0,90066338808,68485155673,0,0
3484,0,3962,25,7,6542,0,0,0,0,0,28,28,0,0,15314359636,3589423425,0,0
37557,0,3964,17,53,6583,0,0,0,0,0,26,26,0,0,90219107420,74013300484,0,0
14128,0,3965,28,2,6500,0,0,0,0,0,29,29,0,0,7691640104,1.09833E+11,0,0
2033,0,3979,3,22,6557,0,0,0,0,0,30,30,0,0,67308887558,757024075,0,0
33582,0,3979,4,9,6559,0,0,0,0,0,32,32,0,0,13274485724,2836141574,0,0
22290,0,3980,25,22,6548,0,0,0,0,0,28,28,0,0,68364834185,27272956770,0,0
3485,0,3986,25,7,6542,0,0,0,0,0,27,27,0,0,15512229320,3613290298,0,0
37558,0,3988,17,53,6583,0,0,0,0,0,27,27,0,0,90619695996,75457442676,0,0
3138,0,4002,7,200,6511,0,0,0,0,0,31,31,0,0,2.84074E+11,25360310578,0,0
22291,0,4004,25,23,6548,0,0,0,0,0,28,28,0,0,68793917950,27456956398,0,0
35866,0,4004,23,45,6556,0,0,0,0,0,28,28,0,0,82224858616,35688303878,0,0
4915,0,4004,23,36,6523,0,0,0,0,0,28,28,0,0,98791177662,35317387233,0,0
26635,0,4017,31,30,6540,0,0,0,0,0,27,27,0,0,83210649221,50801948524,0,0
31680,0,4019,16,8,6514,0,0,0,0,0,31,31,0,0,25373843488,4554763036,0,0
29532,0,4028,23,35,6536,0,0,0,0,0,28,28,0,0,87667095411,32363505178,0,0
43650,0,4028,23,33,6547,0,0,0,0,0,28,28,0,0,96007918218,30922541873,0,0
32049,0,4028,41,5,6528,0,0,0,0,0,29,29,0,0,11351389168,10159220056,0,0
23974,0,4032,20,156,6506,0,0,0,0,0,39,39,0,0,5.85566E+11,3.08519E+11,0,0
31681,0,4043,16,8,6514,0,0,0,0,0,31,31,0,0,25373843488,4554763036,0,0
3140,0,4050,7,203,6511,0,0,0,0,0,31,31,0,0,2.88168E+11,25700424002,0,0
2036,0,4051,3,22,6557,0,0,0,0,0,30,30,0,0,67308888502,757028043,0,0
4917,0,4052,23,36,6523,0,0,0,0,0,28,28,0,0,99528336018,35759413700,0,0
35868,0,4052,23,46,6556,0,0,0,0,0,28,28,0,0,83046463613,36067220795,0,0
25357,0,4054,18,53,6573,0,0,0,0,0,28,28,0,0,1.97459E+11,95607399480,0,0
3488,0,4058,25,8,6542,0,0,0,0,0,27,27,0,0,16066130665,3686046251,0,0
31682,0,4067,16,8,6514,0,0,0,0,0,30,30,0,0,25373843488,4554763036,0,0
6004,0,4074,22,49,6562,0,0,0,0,0,27,27,0,0,1.27421E+11,39492400937,0,0
29141,0,4074,24,7,6588,0,0,0,0,0,29,29,0,0,28147964074,4430894857,0,0
42566,0,4076,22,43,6535,0,0,0,0,0,29,29,0,0,92580756269,69468265435,0,0
43652,0,4076,23,33,6547,0,0,0,0,0,29,29,0,0,96975099103,31181925180,0,0
20122,0,4077,22,52,6565,0,0,0,0,0,28,28,0,0,1.40115E+11,30836007935,0,0
16521,0,4082,25,7,6574,0,0,0,0,0,27,27,0,0,15827364277,3728101450,0,0
32268,0,4084,25,7,6550,0,0,0,0,0,27,27,0,0,15627200444,3585704495,0,0
31683,0,4091,16,8,6514,0,0,0,0,0,29,29,0,0,25373843488,4554763036,0,0
35870,0,4100,23,46,6556,0,0,0,0,0,27,27,0,0,83908877384,36246121501,0,0
12159,0,4101,22,36,6521,0,0,0,0,0,27,27,0,0,78474998027,40763657936,0,0
43124,0,4103,23,107,6595,0,0,0,0,0,30,30,0,0,3.86207E+11,2.18216E+11,0,0
26639,0,4113,31,31,6540,0,0,0,0,0,26,26,0,0,85096063550,51729248126,0,0
54208,0,4118,32,112,6553,0,0,0,0,0,29,29,0,0,1.92559E+11,49027772332,0,0
29143,0,4122,24,7,6588,0,0,0,0,0,29,29,0,0,28147964074,4430894857,0,0
22991,0,4132,27,112,6491,0,0,0,0,0,30,30,0,0,1.81104E+11,41393345661,0,0
14135,0,4133,28,2,6500,0,0,0,0,0,28,28,0,0,7691643919,1.13583E+11,0,0
54209,0,4142,32,113,6553,0,0,0,0,0,29,29,0,0,1.93114E+11,49292420395,0,0
33589,0,4147,4,9,6559,0,0,0,0,0,33,33,0,0,13564457564,2836378974,0,0
2040,0,4147,3,22,6557,0,0,0,0,0,30,30,0,0,68482651054,760611763,0,0
4921,0,4148,23,36,6523,0,0,0,0,0,28,28,0,0,1.01113E+11,36306604978,0,0
12704,0,4149,22,64,6561,0,0,0,0,0,29,29,0,0,1.27913E+11,33740295796,0,0
37565,0,4156,17,56,6583,0,0,0,0,0,26,26,0,0,93723690060,79311728468,0,0
31686,0,4163,16,8,6514,0,0,0,0,0,30,30,0,0,25373843488,4554763036,0,0
42570,0,4172,22,44,6535,0,0,0,0,0,28,28,0,0,94115754599,69972045463,0,0
12705,0,4173,22,64,6561,0,0,0,0,0,28,28,0,0,1.28295E+11,33880087659,0,0
25362,0,4174,18,55,6573,0,0,0,0,0,28,28,0,0,2.03311E+11,98932574045,0,0
32056,0,4196,41,5,6528,0,0,0,0,0,29,29,0,0,11727185568,10159773904,0,0
43128,0,4199,23,108,6595,0,0,0,0,0,29,29,0,0,3.91676E+11,2.23051E+11,0,0
3494,0,4202,25,8,6542,0,0,0,0,0,27,27,0,0,17214392649,3860873848,0,0
37567,0,4202,17,57,6583,0,0,0,0,0,27,27,0,0,96235931300,81310426508,0,0
26643,0,4209,31,32,6540,0,0,0,0,0,28,28,0,0,86562594487,52504594545,0,0
31688,0,4211,16,8,6514,0,0,0,0,0,31,31,0,0,25373843488,4554763036,0,0
6010,0,4218,22,52,6562,0,0,0,0,0,26,26,0,0,1.36691E+11,40135980131,0,0
13219,0,4218,24,6,6530,0,0,0,0,0,29,29,0,0,25656241736,5494786465,0,0
3147,0,4218,7,215,6511,0,0,0,0,0,30,30,0,0,3.02357E+11,26682257386,0,0
25364,0,4222,18,56,6573,0,0,0,0,0,29,29,0,0,2.06207E+11,1.00974E+11,0,0
23982,0,4224,20,160,6506,0,0,0,0,0,38,38,0,0,5.9824E+11,3.19822E+11,0,0
3495,0,4226,25,8,6542,0,0,0,0,0,27,27,0,0,17423573691,3886422043,0,0
31689,0,4235,16,8,6514,0,0,0,0,0,31,31,0,0,25373843488,4554763036,0,0
29148,0,4242,24,7,6588,0,0,0,0,0,29,29,0,0,28147964074,4430894857,0,0
2044,0,4243,3,23,6557,0,0,0,0,0,30,30,0,0,68482663078,760615995,0,0
22301,0,4244,25,24,6548,0,0,0,0,0,28,28,0,0,72952930143,28573632284,0,0
29541,0,4244,23,36,6536,0,0,0,0,0,28,28,0,0,91384380780,33263959439,0,0
20129,0,4245,22,54,6565,0,0,0,0,0,27,27,0,0,1.42959E+11,31526093722,0,0
60215,0,4250,27,101,6485,0,0,0,0,0,32,32,0,0,1.6402E+11,81793715926,0,0
22996,0,4252,27,115,6491,0,0,0,0,0,31,31,0,0,1.83682E+11,42350610810,0,0
26645,0,4257,31,32,6540,0,0,0,0,0,27,27,0,0,87213332632,52740484433,0,0
15749,0,4262,23,4,6552,0,0,0,0,0,31,31,0,0,4352382056,5070072932,0,0
29149,0,4266,24,7,6588,0,0,0,0,0,29,29,0,0,28147964074,4430894857,0,0
35877,0,4268,23,48,6556,0,0,0,0,0,28,28,0,0,86484479320,36923206442,0,0
16109,0,4268,23,82,6565,0,0,0,0,0,31,31,0,0,2.48233E+11,1.85348E+11,0,0
43131,0,4271,23,110,6595,0,0,0,0,0,30,30,0,0,3.95905E+11,2.2696E+11,0,0
60216,0,4274,27,101,6485,0,0,0,0,0,31,31,0,0,1.64543E+11,82009685896,0,0
29150,0,4290,24,7,6588,0,0,0,0,0,29,29,0,0,28147964074,4430894857,0,0
16110,0,4292,23,82,6565,0,0,0,0,0,32,32,0,0,2.50152E+11,1.87208E+11,0,0
28780,0,4292,23,90,6606,0,0,0,0,0,30,30,0,0,2.92066E+11,1.8233E+11,0,0
29543,0,4292,23,37,6536,0,0,0,0,0,28,28,0,0,92165137938,33346854038,0,0
21902,0,4293,23,81,6543,0,0,0,0,0,33,33,0,0,2.40299E+11,1.659E+11,0,0
12167,0,4293,22,37,6521,0,0,0,0,0,27,27,0,0,81189096655,41564832679,0,0
43132,0,4295,23,110,6595,0,0,0,0,0,29,29,0,0,3.97167E+11,2.28092E+11,0,0
33847,0,4296,18,8,6547,0,0,0,0,0,31,31,0,0,28546219640,7036780754,0,0
19730,0,4298,28,102,6574,0,0,0,0,0,28,28,0,0,1.52336E+11,65736044156,0,0
13223,0,4314,24,6,6530,0,0,0,0,0,29,29,0,0,25656241736,5494786465,0,0
42576,0,4316,22,46,6535,0,0,0,0,0,28,28,0,0,96632681367,70396184615,0,0
22304,0,4316,25,24,6548,0,0,0,0,0,27,27,0,0,74092664370,28713014587,0,0
21903,0,4317,23,82,6543,0,0,0,0,0,33,33,0,0,2.42414E+11,1.67343E+11,0,0
19731,0,4322,28,103,6574,0,0,0,0,0,30,30,0,0,1.5282E+11,65989559248,0,0
3499,0,4322,25,9,6542,0,0,0,0,0,27,27,0,0,18155098521,3974414176,0,0
11043,0,4323,24,81,6567,0,0,0,0,0,33,33,0,0,2.52768E+11,1.87789E+11,0,0
14143,0,4325,28,2,6500,0,0,0,0,0,30,30,0,0,7691647734,1.17333E+11,0,0
10498,0,4329,17,13,6561,0,0,0,0,0,32,32,0,0,33715495458,4405436281,0,0
31693,0,4331,16,8,6514,0,0,0,0,0,31,31,0,0,25373843488,4554763036,0,0
54217,0,4334,32,117,6553,0,0,0,0,0,29,29,0,0,1.98323E+11,50674658618,0,0
29152,0,4338,24,7,6588,0,0,0,0,0,29,29,0,0,28147964074,4430894857,0,0
4929,0,4340,23,38,6523,0,0,0,0,0,28,28,0,0,1.03928E+11,37165092486,0,0
28782,0,4340,23,92,6606,0,0,0,0,0,30,30,0,0,2.96442E+11,1.85091E+11,0,0
35880,0,4340,23,49,6556,0,0,0,0,0,27,27,0,0,87592510317,37098034705,0,0
35298,0,4340,25,79,6584,0,0,0,0,0,33,33,0,0,2.44639E+11,1.76156E+11,0,0
16112,0,4340,23,84,6565,0,0,0,0,0,31,31,0,0,2.53975E+11,1.90854E+11,0,0
20133,0,4341,22,54,6565,0,0,0,0,0,27,27,0,0,1.44554E+11,31733576620,0,0
23987,0,4344,20,163,6506,0,0,0,0,0,39,39,0,0,6.06575E+11,3.26793E+11,0,0
